Linux 3.10.0-327.10.1.el7.x86_64 (storage10.cluster) 	02/23/2017 	_x86_64_	(28 CPU)

01:23:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:24:35 PM     all      6.54      0.00      0.59      0.00      0.00     92.86
01:24:35 PM       0      7.01      0.00      0.37      0.00      0.00     92.62
01:24:35 PM       1      8.70      0.00      1.70      0.00      0.00     89.60
01:24:35 PM       2      9.35      0.00      0.72      0.00      0.00     89.93
01:24:35 PM       3      7.85      0.00      0.53      0.00      0.00     91.62
01:24:35 PM       4      8.04      0.00      0.35      0.00      0.00     91.61
01:24:35 PM       5      6.77      0.00      0.30      0.00      0.00     92.93
01:24:35 PM       6      7.41      0.00      0.28      0.00      0.00     92.31
01:24:35 PM       7      6.04      0.00      0.20      0.00      0.00     93.76
01:24:35 PM       8      4.98      0.00      0.22      0.00      0.00     94.80
01:24:35 PM       9      5.11      0.00      0.18      0.00      0.00     94.71
01:24:35 PM      10      4.67      0.00      0.12      0.00      0.00     95.21
01:24:35 PM      11     24.90      0.00      4.50      0.00      0.00     70.60
01:24:35 PM      12      6.98      0.00      1.30      0.00      0.00     91.72
01:24:35 PM      13      5.38      0.00      0.27      0.00      0.00     94.35
01:24:35 PM      14      2.67      0.00      0.05      0.00      0.00     97.28
01:24:35 PM      15      4.82      0.00      1.72      0.00      0.00     93.46
01:24:35 PM      16      5.64      0.00      0.85      0.00      0.00     93.50
01:24:35 PM      17      7.64      0.00      0.68      0.00      0.00     91.68
01:24:35 PM      18      7.83      0.00      0.45      0.00      0.00     91.72
01:24:35 PM      19      6.61      0.00      0.45      0.00      0.00     92.94
01:24:35 PM      20      8.14      0.00      0.33      0.00      0.00     91.52
01:24:35 PM      21      7.61      0.00      0.23      0.00      0.00     92.16
01:24:35 PM      22      3.28      0.00      0.15      0.00      0.00     96.57
01:24:35 PM      23      3.59      0.00      0.18      0.00      0.00     96.23
01:24:35 PM      24      2.39      0.00      0.10      0.00      0.00     97.51
01:24:35 PM      25      3.85      0.00      0.10      0.00      0.00     96.05
01:24:35 PM      26      3.00      0.00      0.12      0.00      0.00     96.88
01:24:35 PM      27      3.00      0.00      0.08      0.00      0.00     96.91
01:25:35 PM     all      4.04      0.00      0.98      0.01      0.00     94.97
01:25:35 PM       0      4.69      0.00      1.93      0.02      0.00     93.37
01:25:35 PM       1      5.49      0.00      2.20      0.02      0.00     92.29
01:25:35 PM       2      5.18      0.00      1.88      0.00      0.00     92.94
01:25:35 PM       3      3.95      0.00      1.31      0.02      0.00     94.72
01:25:35 PM       4      4.71      0.00      1.33      0.00      0.00     93.96
01:25:35 PM       5      5.07      0.00      1.27      0.00      0.00     93.65
01:25:35 PM       6      5.29      0.00      1.42      0.00      0.00     93.28
01:25:35 PM       7      4.17      0.00      1.05      0.00      0.00     94.78
01:25:35 PM       8      3.67      0.00      1.41      0.02      0.00     94.91
01:25:35 PM       9      5.91      0.00      1.97      0.00      0.00     92.12
01:25:35 PM      10      9.31      0.00      2.79      0.00      0.00     87.90
01:25:35 PM      11      9.65      0.00      2.35      0.00      0.00     88.00
01:25:35 PM      12      7.81      0.00      1.49      0.02      0.00     90.69
01:25:35 PM      13      4.87      0.00      1.61      0.02      0.00     93.50
01:25:35 PM      14      1.50      0.00      0.15      0.00      0.00     98.35
01:25:35 PM      15      2.45      0.00      0.32      0.00      0.00     97.23
01:25:35 PM      16      1.25      0.00      0.22      0.02      0.00     98.52
01:25:35 PM      17      1.47      0.00      0.18      0.02      0.00     98.33
01:25:35 PM      18      1.44      0.00      0.27      0.00      0.00     98.30
01:25:35 PM      19      2.60      0.00      0.50      0.00      0.00     96.90
01:25:35 PM      20      1.67      0.00      0.13      0.02      0.00     98.18
01:25:35 PM      21      3.25      0.00      0.23      0.00      0.00     96.51
01:25:35 PM      22      4.25      0.00      0.43      0.02      0.00     95.30
01:25:35 PM      23      3.57      0.00      0.25      0.00      0.00     96.18
01:25:35 PM      24      3.17      0.00      0.22      0.00      0.00     96.61
01:25:35 PM      25      4.17      0.00      0.28      0.02      0.00     95.53
01:25:35 PM      26      1.92      0.00      0.22      0.00      0.00     97.86
01:25:35 PM      27      0.72      0.00      0.15      0.02      0.00     99.12
01:26:35 PM     all      1.33      0.00      1.04      0.01      0.00     97.63
01:26:35 PM       0      1.85      0.00      0.87      0.00      0.00     97.28
01:26:35 PM       1      1.45      0.00      0.42      0.00      0.00     98.13
01:26:35 PM       2      1.70      0.00      0.23      0.02      0.00     98.05
01:26:35 PM       3      2.17      0.00      2.17      0.00      0.00     95.65
01:26:35 PM       4      1.89      0.00      0.89      0.02      0.00     97.21
01:26:35 PM       5      2.41      0.00      3.52      0.02      0.00     94.05
01:26:35 PM       6      1.18      0.00      0.57      0.00      0.00     98.25
01:26:35 PM       7      2.11      0.00      3.49      0.00      0.00     94.40
01:26:35 PM       8      1.96      0.00      2.63      0.00      0.00     95.41
01:26:35 PM       9      2.37      0.00      2.59      0.00      0.00     95.03
01:26:35 PM      10      2.22      0.00      2.07      0.02      0.00     95.69
01:26:35 PM      11      5.25      0.00      5.22      0.00      0.00     89.53
01:26:35 PM      12      3.16      0.00      2.24      0.00      0.00     94.60
01:26:35 PM      13      2.17      0.00      0.87      0.00      0.00     96.96
01:26:35 PM      14      0.63      0.00      0.03      0.02      0.00     99.32
01:26:35 PM      15      0.62      0.00      0.48      0.02      0.00     98.88
01:26:35 PM      16      0.98      0.00      0.37      0.00      0.00     98.65
01:26:35 PM      17      0.85      0.00      0.15      0.00      0.00     99.00
01:26:35 PM      18      0.63      0.00      0.08      0.02      0.00     99.27
01:26:35 PM      19      0.73      0.00      0.12      0.00      0.00     99.15
01:26:35 PM      20      0.38      0.00      0.03      0.02      0.00     99.57
01:26:35 PM      21      0.25      0.00      0.05      0.02      0.00     99.68
01:26:35 PM      22      0.08      0.00      0.03      0.00      0.00     99.88
01:26:35 PM      23      0.07      0.00      0.02      0.00      0.00     99.92
01:26:35 PM      24      0.05      0.00      0.05      0.00      0.00     99.90
01:26:35 PM      25      0.05      0.00      0.05      0.00      0.00     99.90
01:26:35 PM      26      0.07      0.00      0.02      0.00      0.00     99.92
01:26:35 PM      27      0.07      0.00      0.02      0.00      0.00     99.92
01:27:35 PM     all      4.67      0.00      2.21      0.02      0.00     93.09
01:27:35 PM       0      6.86      0.00      7.34      0.03      0.00     85.76
01:27:35 PM       1      6.29      0.00      4.59      0.03      0.00     89.09
01:27:35 PM       2      5.17      0.00      2.00      0.03      0.00     92.80
01:27:35 PM       3      6.36      0.00      4.00      0.03      0.00     89.61
01:27:35 PM       4      5.45      0.00      2.82      0.02      0.00     91.71
01:27:35 PM       5      6.62      0.00      3.90      0.03      0.00     89.45
01:27:35 PM       6      5.75      0.00      3.49      0.03      0.00     90.73
01:27:35 PM       7      6.82      0.00      7.04      0.03      0.00     86.10
01:27:35 PM       8      5.50      0.00      5.72      0.04      0.00     88.73
01:27:35 PM       9      5.47      0.00      2.96      0.02      0.00     91.55
01:27:35 PM      10      4.95      0.00      2.87      0.02      0.00     92.16
01:27:35 PM      11     11.32      0.00      3.14      0.02      0.00     85.52
01:27:35 PM      12      6.66      0.00      5.98      0.03      0.00     87.33
01:27:35 PM      13      5.97      0.00      2.50      0.03      0.00     91.49
01:27:35 PM      14      1.62      0.00      0.22      0.00      0.00     98.17
01:27:35 PM      15      2.35      0.00      0.35      0.02      0.00     97.28
01:27:35 PM      16      3.56      0.00      0.30      0.00      0.00     96.14
01:27:35 PM      17      2.37      0.00      0.32      0.03      0.00     97.28
01:27:35 PM      18      4.37      0.00      0.57      0.02      0.00     95.04
01:27:35 PM      19      3.52      0.00      0.43      0.03      0.00     96.01
01:27:35 PM      20      4.65      0.00      0.48      0.00      0.00     94.87
01:27:35 PM      21      2.47      0.00      0.28      0.02      0.00     97.23
01:27:35 PM      22      3.17      0.00      0.27      0.02      0.00     96.54
01:27:35 PM      23      3.59      0.00      0.38      0.03      0.00     95.99
01:27:35 PM      24      2.79      0.00      0.33      0.03      0.00     96.84
01:27:35 PM      25      2.87      0.00      0.27      0.02      0.00     96.84
01:27:35 PM      26      1.74      0.00      0.20      0.03      0.00     98.03
01:27:35 PM      27      2.94      0.00      0.28      0.00      0.00     96.78
01:28:35 PM     all      9.61      0.00      2.98      0.01      0.00     87.40
01:28:35 PM       0     18.13      0.00      5.82      0.02      0.00     76.04
01:28:35 PM       1     18.08      0.00      6.08      0.02      0.00     75.83
01:28:35 PM       2     17.68      0.00      5.79      0.02      0.00     76.51
01:28:35 PM       3     18.25      0.00      5.90      0.02      0.00     75.84
01:28:35 PM       4     18.31      0.00      5.40      0.02      0.00     76.27
01:28:35 PM       5     18.53      0.00      5.60      0.00      0.00     75.88
01:28:35 PM       6     18.53      0.00      4.84      0.02      0.00     76.62
01:28:35 PM       7     19.66      0.00      4.97      0.00      0.00     75.37
01:28:35 PM       8     16.65      0.00      9.11      0.00      0.00     74.25
01:28:35 PM       9     17.79      0.00      5.60      0.02      0.00     76.59
01:28:35 PM      10     17.09      0.00      5.36      0.02      0.00     77.54
01:28:35 PM      11     17.30      0.00      5.70      0.00      0.00     77.00
01:28:35 PM      12     17.60      0.00      6.13      0.02      0.00     76.25
01:28:35 PM      13     16.28      0.00      5.74      0.02      0.00     77.97
01:28:35 PM      14      3.38      0.00      0.20      0.00      0.00     96.42
01:28:35 PM      15      1.17      0.00      0.50      0.00      0.00     98.33
01:28:35 PM      16      1.57      0.00      0.30      0.02      0.00     98.11
01:28:35 PM      17      0.82      0.00      0.15      0.00      0.00     99.03
01:28:35 PM      18      0.90      0.00      0.17      0.00      0.00     98.93
01:28:35 PM      19      1.29      0.00      0.12      0.00      0.00     98.60
01:28:35 PM      20      1.82      0.00      0.17      0.00      0.00     98.01
01:28:35 PM      21      2.07      0.00      0.27      0.00      0.00     97.66
01:28:35 PM      22      2.04      0.00      0.22      0.00      0.00     97.74
01:28:35 PM      23      1.50      0.00      0.12      0.00      0.00     98.38
01:28:35 PM      24      1.85      0.00      0.18      0.00      0.00     97.96
01:28:35 PM      25      1.02      0.00      0.17      0.00      0.00     98.81
01:28:35 PM      26      1.39      0.00      0.10      0.00      0.00     98.51
01:28:35 PM      27      0.89      0.00      0.13      0.02      0.00     98.96
01:29:35 PM     all      3.70      0.00      4.50      0.00      0.00     91.80
01:29:35 PM       0      6.10      0.00      9.20      0.00      0.00     84.71
01:29:35 PM       1      7.01      0.00      9.86      0.00      0.00     83.13
01:29:35 PM       2      6.50      0.00      9.87      0.00      0.00     83.63
01:29:35 PM       3      4.20      0.00      4.29      0.00      0.00     91.51
01:29:35 PM       4      8.07      0.00     13.83      0.00      0.00     78.10
01:29:35 PM       5      6.26      0.00      8.49      0.02      0.00     85.24
01:29:35 PM       6      7.20      0.00      9.29      0.00      0.00     83.51
01:29:35 PM       7      5.71      0.00      7.18      0.00      0.00     87.11
01:29:35 PM       8      3.28      0.00     17.33      0.00      0.00     79.38
01:29:35 PM       9      5.12      0.00      9.10      0.00      0.00     85.77
01:29:35 PM      10      5.07      0.00      8.25      0.00      0.00     86.68
01:29:35 PM      11      8.04      0.00      4.10      0.02      0.00     87.84
01:29:35 PM      12      7.11      0.00     12.90      0.00      0.00     79.99
01:29:35 PM      13      4.67      0.00      6.00      0.00      0.00     89.33
01:29:35 PM      14      1.22      0.00      0.13      0.00      0.00     98.65
01:29:35 PM      15      0.88      0.00      0.15      0.00      0.00     98.97
01:29:35 PM      16      2.07      0.00      0.17      0.00      0.00     97.77
01:29:35 PM      17      1.58      0.00      0.15      0.00      0.00     98.27
01:29:35 PM      18      2.45      0.00      0.20      0.02      0.00     97.33
01:29:35 PM      19      1.38      0.00      0.10      0.00      0.00     98.52
01:29:35 PM      20      1.72      0.00      0.12      0.02      0.00     98.15
01:29:35 PM      21      2.03      0.00      0.15      0.00      0.00     97.82
01:29:35 PM      22      1.38      0.00      0.15      0.00      0.00     98.47
01:29:35 PM      23      0.90      0.00      0.10      0.00      0.00     99.00
01:29:35 PM      24      1.28      0.00      0.08      0.00      0.00     98.63
01:29:35 PM      25      1.08      0.00      0.12      0.00      0.00     98.80
01:29:35 PM      26      1.55      0.00      0.07      0.00      0.00     98.38
01:29:35 PM      27      0.40      0.00      0.13      0.00      0.00     99.47
01:30:35 PM     all     11.75      0.00      5.50      0.01      0.00     82.74
01:30:35 PM       0     13.55      0.00     13.95      0.02      0.00     72.48
01:30:35 PM       1      9.96      0.00      7.00      0.02      0.00     83.03
01:30:35 PM       2     14.58      0.00     14.55      0.02      0.00     70.85
01:30:35 PM       3     10.90      0.00      8.73      0.02      0.00     80.36
01:30:35 PM       4     10.80      0.00      8.61      0.02      0.00     80.58
01:30:35 PM       5     10.87      0.00      8.51      0.02      0.00     80.60
01:30:35 PM       6     10.16      0.00      6.76      0.03      0.00     83.05
01:30:35 PM       7     13.41      0.00     12.46      0.03      0.00     74.09
01:30:35 PM       8     11.18      0.00     21.08      0.02      0.00     67.72
01:30:35 PM       9     13.17      0.00     13.97      0.02      0.00     72.85
01:30:35 PM      10     12.41      0.00      8.95      0.00      0.00     78.64
01:30:35 PM      11     13.18      0.00      7.54      0.00      0.00     79.28
01:30:35 PM      12      9.40      0.00      6.88      0.00      0.00     83.71
01:30:35 PM      13     10.48      0.00      8.27      0.03      0.00     81.21
01:30:35 PM      14     11.41      0.00      0.74      0.02      0.00     87.83
01:30:35 PM      15      8.57      0.00      0.82      0.00      0.00     90.60
01:30:35 PM      16     10.36      0.00      0.75      0.00      0.00     88.89
01:30:35 PM      17     12.07      0.00      0.86      0.02      0.00     87.06
01:30:35 PM      18     12.93      0.00      0.87      0.02      0.00     86.18
01:30:35 PM      19     10.34      0.00      0.67      0.00      0.00     88.99
01:30:35 PM      20     11.59      0.00      0.94      0.00      0.00     87.47
01:30:35 PM      21     14.24      0.00      1.01      0.02      0.00     84.73
01:30:35 PM      22     11.19      0.00      0.86      0.02      0.00     87.94
01:30:35 PM      23     11.89      0.00      0.84      0.02      0.00     87.26
01:30:35 PM      24     13.15      0.00      0.94      0.02      0.00     85.89
01:30:35 PM      25     10.79      0.00      0.72      0.02      0.00     88.47
01:30:35 PM      26     12.12      0.00      0.86      0.02      0.00     87.01
01:30:35 PM      27     14.36      0.00      1.08      0.02      0.00     84.54
01:31:35 PM     all     14.90      0.00      4.48      0.01      0.00     80.61
01:31:35 PM       0     12.50      0.00      7.63      0.02      0.00     79.86
01:31:35 PM       1     11.95      0.00      7.61      0.02      0.00     80.42
01:31:35 PM       2     11.80      0.00      7.94      0.02      0.00     80.25
01:31:35 PM       3     11.45      0.00      7.57      0.02      0.00     80.96
01:31:35 PM       4     11.93      0.00      8.30      0.02      0.00     79.75
01:31:35 PM       5     13.52      0.00      7.15      0.02      0.00     79.31
01:31:35 PM       6     11.94      0.00      7.68      0.00      0.00     80.39
01:31:35 PM       7     11.71      0.00      8.11      0.00      0.00     80.18
01:31:35 PM       8     10.16      0.00     11.83      0.00      0.00     78.01
01:31:35 PM       9     11.70      0.00      8.28      0.02      0.00     80.01
01:31:35 PM      10     12.33      0.00      8.36      0.02      0.00     79.29
01:31:35 PM      11     11.94      0.00      8.09      0.02      0.00     79.95
01:31:35 PM      12     12.32      0.00      8.10      0.02      0.00     79.56
01:31:35 PM      13     12.54      0.00      7.90      0.00      0.00     79.56
01:31:35 PM      14     16.75      0.00      0.93      0.00      0.00     82.32
01:31:35 PM      15     12.91      0.00      0.91      0.02      0.00     86.16
01:31:35 PM      16     17.99      0.00      0.83      0.00      0.00     81.18
01:31:35 PM      17     20.22      0.00      1.03      0.00      0.00     78.75
01:31:35 PM      18     19.49      0.00      0.99      0.00      0.00     79.51
01:31:35 PM      19     19.44      0.00      0.98      0.00      0.00     79.59
01:31:35 PM      20     18.10      0.00      0.79      0.00      0.00     81.11
01:31:35 PM      21     17.81      0.00      0.84      0.00      0.00     81.35
01:31:35 PM      22     16.06      0.00      0.92      0.00      0.00     83.02
01:31:35 PM      23     17.44      0.00      0.83      0.00      0.00     81.74
01:31:35 PM      24     18.15      0.00      0.83      0.00      0.00     81.03
01:31:35 PM      25     19.37      0.00      0.86      0.00      0.00     79.77
01:31:35 PM      26     16.66      0.00      0.89      0.00      0.00     82.45
01:31:35 PM      27     18.06      0.00      0.77      0.00      0.00     81.17
01:32:35 PM     all      6.72      0.00      7.28      0.00      0.00     85.99
01:32:35 PM       0     11.32      0.00     12.26      0.00      0.00     76.42
01:32:35 PM       1     13.26      0.00     15.26      0.00      0.00     71.47
01:32:35 PM       2     13.67      0.00     14.60      0.00      0.00     71.73
01:32:35 PM       3     11.64      0.00     13.62      0.00      0.00     74.74
01:32:35 PM       4     12.56      0.00     13.64      0.00      0.00     73.80
01:32:35 PM       5     10.09      0.00     11.09      0.00      0.00     78.82
01:32:35 PM       6     13.43      0.00     13.28      0.02      0.00     73.27
01:32:35 PM       7     12.90      0.00     15.37      0.02      0.00     71.71
01:32:35 PM       8      7.82      0.00     37.06      0.03      0.00     55.10
01:32:35 PM       9     10.90      0.00     12.22      0.00      0.00     76.88
01:32:35 PM      10     11.58      0.00     15.37      0.00      0.00     73.05
01:32:35 PM      11     17.81      0.00     14.97      0.00      0.00     67.22
01:32:35 PM      12     12.50      0.00     13.80      0.00      0.00     73.70
01:32:35 PM      13     11.15      0.00     13.44      0.02      0.00     75.39
01:32:35 PM      14      1.22      0.00      0.62      0.00      0.00     98.16
01:32:35 PM      15      1.90      0.00      0.23      0.00      0.00     97.86
01:32:35 PM      16      2.25      0.00      0.62      0.00      0.00     97.13
01:32:35 PM      17      1.37      0.00      0.23      0.02      0.00     98.38
01:32:35 PM      18      1.82      0.00      0.40      0.00      0.00     97.78
01:32:35 PM      19      1.59      0.00      0.17      0.00      0.00     98.25
01:32:35 PM      20      1.27      0.00      0.10      0.00      0.00     98.63
01:32:35 PM      21      1.05      0.00      0.10      0.00      0.00     98.85
01:32:35 PM      22      1.45      0.00      0.35      0.00      0.00     98.20
01:32:35 PM      23      1.92      0.00      0.32      0.00      0.00     97.76
01:32:35 PM      24      1.15      0.00      0.32      0.00      0.00     98.53
01:32:35 PM      25      2.42      0.00      0.08      0.00      0.00     97.50
01:32:35 PM      26      0.80      0.00      0.08      0.00      0.00     99.12
01:32:35 PM      27      1.82      0.00      0.12      0.00      0.00     98.06
01:33:35 PM     all     12.42      0.00      6.99      0.02      0.00     80.58
01:33:35 PM       0     15.05      0.00     13.35      0.02      0.00     71.58
01:33:35 PM       1     15.53      0.00     13.62      0.02      0.00     70.84
01:33:35 PM       2     16.42      0.00     14.51      0.04      0.00     69.04
01:33:35 PM       3     14.49      0.00     12.48      0.02      0.00     73.01
01:33:35 PM       4     14.50      0.00     12.00      0.02      0.00     73.48
01:33:35 PM       5     14.82      0.00     11.86      0.02      0.00     73.30
01:33:35 PM       6     13.76      0.00     11.05      0.02      0.00     75.17
01:33:35 PM       7     15.18      0.00     13.35      0.00      0.00     71.46
01:33:35 PM       8     11.33      0.00     25.77      0.02      0.00     62.88
01:33:35 PM       9     13.51      0.00     10.67      0.02      0.00     75.80
01:33:35 PM      10     14.10      0.00     12.46      0.02      0.00     73.42
01:33:35 PM      11     20.26      0.00     14.29      0.00      0.00     65.44
01:33:35 PM      12     14.60      0.00     13.39      0.02      0.00     71.99
01:33:35 PM      13     15.80      0.00     13.46      0.02      0.00     70.72
01:33:35 PM      14     10.55      0.00      0.94      0.02      0.00     88.50
01:33:35 PM      15      9.87      0.00      1.09      0.02      0.00     89.02
01:33:35 PM      16     10.34      0.00      0.92      0.02      0.00     88.73
01:33:35 PM      17     10.22      0.00      0.91      0.02      0.00     88.86
01:33:35 PM      18     10.99      0.00      0.99      0.02      0.00     88.01
01:33:35 PM      19     10.28      0.00      0.72      0.00      0.00     89.00
01:33:35 PM      20     10.17      0.00      0.79      0.02      0.00     89.03
01:33:35 PM      21      9.93      0.00      0.84      0.03      0.00     89.20
01:33:35 PM      22      9.15      0.00      0.82      0.02      0.00     90.01
01:33:35 PM      23     10.26      0.00      0.91      0.02      0.00     88.81
01:33:35 PM      24      9.48      0.00      0.75      0.02      0.00     89.75
01:33:35 PM      25      9.82      0.00      1.02      0.02      0.00     89.14
01:33:35 PM      26      8.92      0.00      0.80      0.02      0.00     90.26
01:33:35 PM      27      9.88      0.00      0.87      0.02      0.00     89.23
01:34:35 PM     all     29.05      0.00      9.15      0.03      0.00     61.77
01:34:35 PM       0     24.06      0.00     16.61      0.04      0.00     59.30
01:34:35 PM       1     24.23      0.00     15.75      0.05      0.00     59.98
01:34:35 PM       2     24.50      0.00     15.87      0.02      0.00     59.62
01:34:35 PM       3     23.67      0.00     15.91      0.05      0.00     60.37
01:34:35 PM       4     23.95      0.00     16.37      0.05      0.00     59.63
01:34:35 PM       5     23.75      0.00     16.33      0.03      0.00     59.88
01:34:35 PM       6     23.72      0.00     16.05      0.03      0.00     60.19
01:34:35 PM       7     23.72      0.00     15.83      0.03      0.00     60.42
01:34:35 PM       8     19.75      0.00     24.62      0.04      0.00     55.59
01:34:35 PM       9     23.50      0.00     15.94      0.02      0.00     60.55
01:34:35 PM      10     23.29      0.00     15.31      0.03      0.00     61.36
01:34:35 PM      11     23.32      0.00     15.97      0.03      0.00     60.67
01:34:35 PM      12     23.32      0.00     16.05      0.03      0.00     60.60
01:34:35 PM      13     24.11      0.00     15.51      0.03      0.00     60.35
01:34:35 PM      14     35.27      0.00      2.04      0.03      0.00     62.66
01:34:35 PM      15     33.34      0.00      2.07      0.02      0.00     64.57
01:34:35 PM      16     33.99      0.00      2.04      0.03      0.00     63.93
01:34:35 PM      17     35.03      0.00      1.98      0.02      0.00     62.98
01:34:35 PM      18     33.90      0.00      2.08      0.00      0.00     64.02
01:34:35 PM      19     35.52      0.00      1.96      0.03      0.00     62.49
01:34:35 PM      20     33.57      0.00      1.92      0.02      0.00     64.49
01:34:35 PM      21     35.44      0.00      2.01      0.00      0.00     62.55
01:34:35 PM      22     33.91      0.00      2.11      0.03      0.00     63.94
01:34:35 PM      23     33.97      0.00      2.21      0.03      0.00     63.78
01:34:35 PM      24     33.58      0.00      1.98      0.02      0.00     64.42
01:34:35 PM      25     35.88      0.00      2.06      0.02      0.00     62.04
01:34:35 PM      26     34.08      0.00      1.99      0.03      0.00     63.89
01:34:35 PM      27     34.04      0.00      1.91      0.02      0.00     64.03
01:35:35 PM     all     12.21      0.00      4.92      0.02      0.00     82.85
01:35:35 PM       0     11.46      0.00      8.53      0.03      0.00     79.98
01:35:35 PM       1     10.75      0.00      8.04      0.02      0.00     81.19
01:35:35 PM       2     11.63      0.00      8.67      0.03      0.00     79.67
01:35:35 PM       3     11.97      0.00      8.00      0.02      0.00     80.01
01:35:35 PM       4     11.93      0.00      8.04      0.03      0.00     80.00
01:35:35 PM       5     12.24      0.00      8.40      0.00      0.00     79.37
01:35:35 PM       6     11.72      0.00      8.17      0.05      0.00     80.06
01:35:35 PM       7     11.22      0.00      8.00      0.03      0.00     80.74
01:35:35 PM       8     10.50      0.00     19.95      0.02      0.00     69.54
01:35:35 PM       9     11.43      0.00      8.52      0.02      0.00     80.03
01:35:35 PM      10     11.67      0.00      7.73      0.00      0.00     80.60
01:35:35 PM      11     13.27      0.00      8.44      0.02      0.00     78.27
01:35:35 PM      12     10.41      0.00      8.01      0.02      0.00     81.57
01:35:35 PM      13     11.72      0.00      8.06      0.03      0.00     80.18
01:35:35 PM      14     12.23      0.00      1.01      0.02      0.00     86.75
01:35:35 PM      15     11.94      0.00      0.84      0.03      0.00     87.19
01:35:35 PM      16     12.94      0.00      0.72      0.02      0.00     86.32
01:35:35 PM      17     14.01      0.00      1.16      0.02      0.00     84.81
01:35:35 PM      18     14.00      0.00      0.91      0.03      0.00     85.06
01:35:35 PM      19     13.31      0.00      0.94      0.02      0.00     85.73
01:35:35 PM      20     11.81      0.00      0.77      0.02      0.00     87.40
01:35:35 PM      21     13.00      0.00      0.77      0.00      0.00     86.22
01:35:35 PM      22     13.43      0.00      1.04      0.02      0.00     85.51
01:35:35 PM      23     11.89      0.00      1.06      0.00      0.00     87.05
01:35:35 PM      24     13.16      0.00      0.94      0.00      0.00     85.90
01:35:35 PM      25     12.57      0.00      0.89      0.03      0.00     86.51
01:35:35 PM      26     13.58      0.00      0.89      0.02      0.00     85.52
01:35:35 PM      27     12.00      0.00      0.97      0.02      0.00     87.01
01:36:35 PM     all      8.17      0.00     12.25      0.00      0.00     79.58
01:36:35 PM       0     13.91      0.00     19.09      0.00      0.00     66.99
01:36:35 PM       1     14.62      0.00     17.88      0.02      0.00     67.49
01:36:35 PM       2     15.03      0.00     19.55      0.00      0.00     65.42
01:36:35 PM       3     14.61      0.00     18.91      0.02      0.00     66.46
01:36:35 PM       4     15.39      0.00     19.34      0.00      0.00     65.28
01:36:35 PM       5     14.95      0.00     18.23      0.00      0.00     66.82
01:36:35 PM       6     14.94      0.00     17.96      0.00      0.00     67.10
01:36:35 PM       7     14.73      0.00     18.84      0.02      0.00     66.42
01:36:35 PM       8      6.01      0.00     83.24      0.00      0.00     10.76
01:36:35 PM       9     16.20      0.00     20.69      0.00      0.00     63.11
01:36:35 PM      10     14.98      0.00     19.82      0.02      0.00     65.18
01:36:35 PM      11     18.08      0.00     20.44      0.02      0.00     61.46
01:36:35 PM      12     15.37      0.00     18.81      0.00      0.00     65.82
01:36:35 PM      13     15.75      0.00     20.41      0.02      0.00     63.82
01:36:35 PM      14      2.88      0.00      3.50      0.00      0.00     93.62
01:36:35 PM      15      2.16      0.00      1.22      0.00      0.00     96.62
01:36:35 PM      16      2.49      0.00      2.14      0.00      0.00     95.36
01:36:35 PM      17      2.26      0.00      1.93      0.00      0.00     95.81
01:36:35 PM      18      2.39      0.00      2.19      0.00      0.00     95.41
01:36:35 PM      19      2.71      0.00      1.87      0.00      0.00     95.41
01:36:35 PM      20      2.14      0.00      1.74      0.00      0.00     96.12
01:36:35 PM      21      1.79      0.00      2.16      0.00      0.00     96.05
01:36:35 PM      22      2.19      0.00      1.55      0.00      0.00     96.26
01:36:35 PM      23      2.22      0.00      1.77      0.00      0.00     96.00
01:36:35 PM      24      2.14      0.00      2.11      0.00      0.00     95.75
01:36:35 PM      25      2.16      0.00      2.16      0.00      0.00     95.68
01:36:35 PM      26      2.16      0.00      2.07      0.00      0.00     95.77
01:36:35 PM      27      1.84      0.00      1.74      0.00      0.00     96.42
01:37:35 PM     all      7.44      0.00     10.04      0.00      0.00     82.52
01:37:35 PM       0     13.89      0.00     15.48      0.02      0.00     70.61
01:37:35 PM       1     14.20      0.00     15.44      0.00      0.00     70.37
01:37:35 PM       2     12.99      0.00     15.27      0.00      0.00     71.74
01:37:35 PM       3     12.96      0.00     14.38      0.00      0.00     72.66
01:37:35 PM       4     13.62      0.00     14.10      0.00      0.00     72.28
01:37:35 PM       5     14.78      0.00     16.79      0.02      0.00     68.41
01:37:35 PM       6     13.64      0.00     14.99      0.00      0.00     71.37
01:37:35 PM       7     14.21      0.00     16.08      0.00      0.00     69.71
01:37:35 PM       8      4.02      0.00     68.95      0.00      0.00     27.03
01:37:35 PM       9     12.42      0.00     13.58      0.00      0.00     73.99
01:37:35 PM      10     14.47      0.00     15.48      0.00      0.00     70.05
01:37:35 PM      11     18.11      0.00     15.69      0.00      0.00     66.20
01:37:35 PM      12     12.68      0.00     12.73      0.02      0.00     74.58
01:37:35 PM      13     13.12      0.00     13.66      0.00      0.00     73.22
01:37:35 PM      14      1.61      0.00      2.22      0.00      0.00     96.17
01:37:35 PM      15      2.46      0.00      1.81      0.00      0.00     95.73
01:37:35 PM      16      2.70      0.00      1.61      0.00      0.00     95.70
01:37:35 PM      17      2.54      0.00      1.82      0.00      0.00     95.63
01:37:35 PM      18      2.21      0.00      1.67      0.00      0.00     96.12
